Review_ID,Employee_ID,Quarter,Perf_Score,Goals_Met_Pct,Manager_Rating,Training_Hrs,Projects_Done
REV00001,EMP0001,2023-Q1,3.5,97,2.9,13,2
REV00002,EMP0001,2023-Q2,3.1,54,3.4,20,4
REV00003,EMP0001,2023-Q3,3.7,78,3.7,11,2
REV00004,EMP0001,2023-Q4,4.3,69,2.8,35,1
REV00005,EMP0001,2024-Q1,3.0,59,2.9,7,4
REV00006,EMP0001,2024-Q2,3.0,89,3.5,35,4
REV00007,EMP0001,2024-Q3,4.3,90,3.7,17,5
REV00008,EMP0001,2024-Q4,3.7,65,4.9,9,3
REV00009,EMP0002,2023-Q1,2.9,56,4.4,8,3
REV00010,EMP0002,2023-Q2,3.6,80,3.4,10,6
REV00011,EMP0002,2023-Q3,2.9,51,4.0,23,3
REV00012,EMP0002,2023-Q4,2.9,87,3.9,28,0
REV00013,EMP0002,2024-Q1,3.4,81,4.9,36,2
REV00014,EMP0002,2024-Q2,1.9,71,5.0,23,0
REV00015,EMP0002,2024-Q3,2.0,61,2.8,19,5
REV00016,EMP0002,2024-Q4,2.8,75,4.8,7,6
REV00017,EMP0003,2023-Q1,2.5,92,3.0,40,2
REV00018,EMP0003,2023-Q2,3.4,68,4.3,5,2
REV00019,EMP0003,2023-Q3,2.6,88,5.0,31,0
REV00020,EMP0003,2023-Q4,2.2,89,4.7,26,1
REV00021,EMP0003,2024-Q1,4.2,73,4.6,12,4
REV00022,EMP0003,2024-Q2,3.0,67,5.0,1,3
REV00023,EMP0003,2024-Q3,2.8,60,2.6,15,5
REV00024,EMP0003,2024-Q4,1.7,78,5.0,21,0
REV00025,EMP0004,2024-Q2,2.8,67,4.4,29,5
REV00026,EMP0004,2024-Q3,2.9,85,2.6,39,0
REV00027,EMP0004,2024-Q4,1.7,51,3.3,12,3
REV00028,EMP0005,2023-Q1,3.5,74,3.5,17,5
REV00029,EMP0005,2023-Q2,2.8,74,3.3,32,6
REV00030,EMP0005,2023-Q3,3.0,100,3.6,21,1
REV00031,EMP0005,2023-Q4,2.8,72,4.3,35,1
REV00032,EMP0005,2024-Q1,4.5,81,3.2,5,3
REV00033,EMP0005,2024-Q2,3.2,92,2.7,20,6
REV00034,EMP0005,2024-Q3,2.5,82,4.7,1,6
REV00035,EMP0005,2024-Q4,3.8,58,4.5,6,1
REV00036,EMP0006,2024-Q2,2.3,54,2.9,4,1
REV00037,EMP0006,2024-Q3,3.3,86,4.5,5,6
REV00038,EMP0006,2024-Q4,1.8,54,2.5,0,5
REV00039,EMP0007,2023-Q3,2.3,71,4.7,39,0
REV00040,EMP0007,2023-Q4,3.3,59,4.0,29,5
REV00041,EMP0007,2024-Q1,3.7,71,4.5,6,4
REV00042,EMP0007,2024-Q2,3.3,57,2.6,8,1
REV00043,EMP0007,2024-Q3,3.1,97,4.8,11,0
REV00044,EMP0007,2024-Q4,3.0,95,4.9,0,3
REV00045,EMP0008,2023-Q1,2.2,100,4.2,13,0
REV00046,EMP0008,2023-Q2,2.7,95,2.7,20,5
REV00047,EMP0008,2023-Q3,2.9,83,3.0,12,5
REV00048,EMP0008,2023-Q4,3.9,81,4.0,11,3
REV00049,EMP0008,2024-Q1,3.4,68,4.3,37,6
REV00050,EMP0008,2024-Q2,2.0,53,3.6,32,0
REV00051,EMP0008,2024-Q3,3.4,55,2.9,12,2
REV00052,EMP0008,2024-Q4,2.9,59,4.7,36,1
REV00053,EMP0009,2023-Q4,2.7,94,2.8,4,1
REV00054,EMP0009,2024-Q1,3.6,61,4.6,14,1
REV00055,EMP0009,2024-Q2,3.9,75,4.1,37,2
REV00056,EMP0009,2024-Q3,3.9,88,3.5,40,2
REV00057,EMP0009,2024-Q4,2.6,63,3.6,22,5
REV00058,EMP0010,2023-Q1,3.0,65,3.8,16,2
REV00059,EMP0010,2023-Q2,3.4,98,2.9,3,0
REV00060,EMP0010,2023-Q3,3.9,81,3.4,3,4
REV00061,EMP0010,2023-Q4,2.9,98,4.5,5,5
REV00062,EMP0010,2024-Q1,3.1,98,4.7,28,0
REV00063,EMP0010,2024-Q2,2.4,97,4.2,20,4
REV00064,EMP0010,2024-Q3,1.7,73,4.2,38,5
REV00065,EMP0010,2024-Q4,3.0,86,3.2,20,3
REV00066,EMP0011,2023-Q1,4.1,72,4.4,30,2
REV00067,EMP0011,2023-Q2,3.1,81,3.3,31,2
REV00068,EMP0011,2023-Q3,3.9,84,5.0,12,1
REV00069,EMP0011,2023-Q4,3.5,87,2.9,22,3
REV00070,EMP0011,2024-Q1,2.7,79,4.7,20,6
REV00071,EMP0011,2024-Q2,3.5,75,3.7,29,3
REV00072,EMP0011,2024-Q3,4.3,59,2.9,24,3
REV00073,EMP0011,2024-Q4,3.2,51,4.7,20,3
REV00074,EMP0012,2023-Q1,4.3,90,2.9,23,0
REV00075,EMP0012,2023-Q2,1.4,77,4.5,11,1
REV00076,EMP0012,2023-Q3,3.8,87,4.9,13,0
REV00077,EMP0012,2023-Q4,3.3,51,3.5,9,2
REV00078,EMP0012,2024-Q1,3.0,71,3.0,31,3
REV00079,EMP0012,2024-Q2,3.3,60,3.3,35,2
REV00080,EMP0012,2024-Q3,1.4,81,4.0,31,3
REV00081,EMP0012,2024-Q4,2.5,60,3.7,3,2
REV00082,EMP0013,2024-Q1,3.4,56,2.7,20,5
REV00083,EMP0013,2024-Q2,4.2,80,4.0,9,1
REV00084,EMP0013,2024-Q3,2.8,83,4.9,13,3
REV00085,EMP0013,2024-Q4,2.6,81,2.5,19,5
REV00086,EMP0014,2023-Q4,2.8,60,3.3,19,5
REV00087,EMP0014,2024-Q1,3.8,89,3.6,7,4
REV00088,EMP0014,2024-Q2,3.4,58,3.8,21,5
REV00089,EMP0014,2024-Q3,2.3,94,4.7,23,4
REV00090,EMP0014,2024-Q4,2.8,54,2.5,23,3
REV00091,EMP0015,2023-Q1,3.3,65,3.0,20,5
REV00092,EMP0015,2023-Q2,3.9,64,4.8,20,5
REV00093,EMP0015,2023-Q3,2.7,80,4.5,35,2
REV00094,EMP0015,2023-Q4,3.0,86,4.5,12,1
REV00095,EMP0015,2024-Q1,2.9,70,4.5,36,1
REV00096,EMP0015,2024-Q2,2.2,95,4.0,15,6
REV00097,EMP0015,2024-Q3,2.7,81,3.9,1,2
REV00098,EMP0015,2024-Q4,2.8,56,3.5,9,4
REV00099,EMP0016,2023-Q1,3.2,70,2.7,31,3
REV00100,EMP0016,2023-Q2,3.0,88,4.8,17,0
REV00101,EMP0016,2023-Q3,2.2,78,3.5,12,6
REV00102,EMP0016,2023-Q4,2.9,99,3.2,9,2
REV00103,EMP0016,2024-Q1,3.0,99,2.6,15,1
REV00104,EMP0016,2024-Q2,2.6,90,2.5,22,6
REV00105,EMP0016,2024-Q3,3.1,89,3.7,9,6
REV00106,EMP0016,2024-Q4,3.5,67,4.9,31,2
REV00107,EMP0017,2023-Q1,4.5,88,4.7,12,6
REV00108,EMP0017,2023-Q2,3.3,91,3.0,38,4
REV00109,EMP0017,2023-Q3,3.4,57,3.2,3,5
REV00110,EMP0017,2023-Q4,3.1,62,3.8,32,2
REV00111,EMP0017,2024-Q1,1.9,65,4.5,27,5
REV00112,EMP0017,2024-Q2,3.2,50,3.2,13,1
REV00113,EMP0017,2024-Q3,3.2,68,2.6,26,0
REV00114,EMP0017,2024-Q4,4.9,73,3.7,9,3
REV00115,EMP0018,2023-Q1,3.1,90,3.5,10,4
REV00116,EMP0018,2023-Q2,3.4,78,4.4,6,2
REV00117,EMP0018,2023-Q3,3.2,79,3.2,38,3
REV00118,EMP0018,2023-Q4,2.4,68,2.9,8,2
REV00119,EMP0018,2024-Q1,4.0,51,2.8,20,4
REV00120,EMP0018,2024-Q2,3.7,80,3.4,20,6
REV00121,EMP0018,2024-Q3,3.1,85,2.6,27,5
REV00122,EMP0018,2024-Q4,2.1,61,3.3,2,5
REV00123,EMP0019,2023-Q1,4.2,68,3.3,36,0
REV00124,EMP0019,2023-Q2,2.2,82,2.6,8,3
REV00125,EMP0019,2023-Q3,3.6,54,4.8,8,1
REV00126,EMP0019,2023-Q4,4.7,56,3.8,15,0
REV00127,EMP0019,2024-Q1,2.5,98,3.4,22,2
REV00128,EMP0019,2024-Q2,2.8,55,3.5,4,3
REV00129,EMP0019,2024-Q3,3.3,75,3.9,33,3
REV00130,EMP0019,2024-Q4,2.8,91,4.5,9,4
REV00131,EMP0020,2023-Q4,2.1,55,4.5,28,1
REV00132,EMP0020,2024-Q1,3.2,57,4.4,16,1
REV00133,EMP0020,2024-Q2,2.5,65,2.6,35,0
