SalaryHistory_ID,Employee_ID,Year,Annual_Salary,Hike_Pct,Bonus_INR
SAL00001,EMP0001,2023,941273,0.0,86730
SAL00002,EMP0001,2024,1081798,14.9,9979
SAL00003,EMP0001,2025,1244581,15.0,117247
SAL00004,EMP0001,2026,1346316,8.2,189460
SAL00005,EMP0002,2023,896260,0.0,84605
SAL00006,EMP0002,2024,1049027,17.0,120257
SAL00007,EMP0002,2025,1227098,17.0,58591
SAL00008,EMP0002,2026,1431148,16.6,127360
SAL00009,EMP0003,2023,381614,0.0,10139
SAL00010,EMP0003,2024,410322,7.5,21643
SAL00011,EMP0003,2025,438197,6.8,9967
SAL00012,EMP0003,2026,453587,3.5,22342
SAL00013,EMP0004,2026,589600,0.0,22352
SAL00014,EMP0005,2023,498279,0.0,38068
SAL00015,EMP0005,2024,571417,14.7,54959
SAL00016,EMP0005,2025,669682,17.2,60026
SAL00017,EMP0005,2026,785277,17.3,103954
SAL00018,EMP0006,2026,1060795,0.0,155340
SAL00019,EMP0007,2025,487077,0.0,6734
SAL00020,EMP0007,2026,564981,16.0,10786
SAL00021,EMP0008,2023,775924,0.0,111686
SAL00022,EMP0008,2024,892678,15.0,41365
SAL00023,EMP0008,2025,1030781,15.5,125906
SAL00024,EMP0008,2026,1170717,13.6,154399
SAL00025,EMP0009,2025,1626399,0.0,237968
SAL00026,EMP0009,2026,1866613,14.8,91832
SAL00027,EMP0010,2023,1287173,0.0,163623
SAL00028,EMP0010,2024,1325436,3.0,104178
SAL00029,EMP0010,2025,1430840,8.0,130115
SAL00030,EMP0010,2026,1507757,5.4,66793
SAL00031,EMP0011,2024,795273,0.0,73890
SAL00032,EMP0011,2025,895496,12.6,13824
SAL00033,EMP0011,2026,1019275,13.8,37279
SAL00034,EMP0012,2023,2739197,0.0,137483
SAL00035,EMP0012,2024,2803653,2.4,398253
SAL00036,EMP0012,2025,2905011,3.6,47016
SAL00037,EMP0012,2026,3002167,3.3,179562
SAL00038,EMP0013,2025,553172,0.0,10767
SAL00039,EMP0013,2026,621846,12.4,16895
SAL00040,EMP0014,2025,660752,0.0,96966
SAL00041,EMP0014,2026,690414,4.5,41927
SAL00042,EMP0015,2023,832147,0.0,88567
SAL00043,EMP0015,2024,898379,8.0,126372
SAL00044,EMP0015,2025,945635,5.3,98334
SAL00045,EMP0015,2026,982713,3.9,64921
