Training_ID,Employee_ID,Course_Name,Provider,Completion_Date,Duration_Hrs,Score_Pct,Certified
TRN00001,EMP0001,Agile & Scrum,Pluralsight,2023-04-26,16,88,Yes
TRN00002,EMP0001,Power BI,Coursera,2023-06-10,20,96,No
TRN00003,EMP0001,Design Thinking,Pluralsight,2024-11-23,12,71,Yes
TRN00004,EMP0001,Cloud AWS,Pluralsight,2024-08-25,4,84,No
TRN00005,EMP0001,SQL Mastery,Udemy,2023-12-10,8,92,Yes
TRN00006,EMP0002,Data Visualization,Internal L&D,2023-07-18,40,71,No
TRN00007,EMP0002,ML Fundamentals,Pluralsight,2023-08-30,4,81,No
TRN00008,EMP0002,DevOps CI/CD,Internal L&D,2023-10-04,12,93,No
TRN00009,EMP0002,Excel Advanced,Udemy,2024-09-28,24,82,No
TRN00010,EMP0003,SQL Mastery,Udemy,2024-11-13,8,76,No
TRN00011,EMP0003,Power BI,Coursera,2025-11-18,24,61,Yes
TRN00012,EMP0003,Leadership 101,Internal L&D,2024-06-22,4,75,No
TRN00013,EMP0004,Power BI,Pluralsight,2024-10-08,40,80,Yes
TRN00014,EMP0004,Cloud AWS,Internal L&D,2024-06-07,24,67,Yes
TRN00015,EMP0004,Agile & Scrum,Pluralsight,2024-03-05,4,100,Yes
TRN00016,EMP0004,Data Visualization,Coursera,2024-04-13,16,79,Yes
TRN00017,EMP0004,Project Management,Coursera,2026-02-15,4,80,No
TRN00018,EMP0005,Design Thinking,Pluralsight,2024-06-24,40,89,No
TRN00019,EMP0005,Project Management,Coursera,2025-12-29,4,83,Yes
TRN00020,EMP0005,ML Fundamentals,Internal L&D,2023-05-27,20,83,Yes
TRN00021,EMP0006,DevOps CI/CD,Udemy,2024-04-19,16,85,Yes
TRN00022,EMP0006,Leadership 101,LinkedIn Learning,2024-05-24,8,87,No
TRN00023,EMP0006,Communication Skills,Internal L&D,2024-02-13,4,91,Yes
TRN00024,EMP0006,Power BI,LinkedIn Learning,2026-01-05,4,90,Yes
TRN00025,EMP0007,Excel Advanced,LinkedIn Learning,2024-03-04,24,72,No
TRN00026,EMP0007,ML Fundamentals,Udemy,2025-06-10,20,66,No
TRN00027,EMP0007,Project Management,LinkedIn Learning,2024-10-24,12,66,Yes
TRN00028,EMP0007,Design Thinking,Pluralsight,2025-04-17,16,96,Yes
TRN00029,EMP0008,Leadership 101,Coursera,2023-10-29,16,82,Yes
TRN00030,EMP0008,Communication Skills,LinkedIn Learning,2025-01-07,8,90,No
TRN00031,EMP0008,Design Thinking,Internal L&D,2026-01-11,4,83,No
TRN00032,EMP0008,DevOps CI/CD,Udemy,2024-05-05,8,64,No
TRN00033,EMP0008,Excel Advanced,Pluralsight,2024-07-15,4,73,No
TRN00034,EMP0009,Data Visualization,Internal L&D,2023-10-17,40,89,No
TRN00035,EMP0009,Communication Skills,LinkedIn Learning,2023-07-18,8,67,Yes
TRN00036,EMP0009,SQL Mastery,Coursera,2023-07-03,8,91,No
TRN00037,EMP0009,Excel Advanced,LinkedIn Learning,2025-04-05,40,93,No
TRN00038,EMP0010,Design Thinking,Coursera,2025-03-24,4,100,Yes
TRN00039,EMP0011,Agile & Scrum,Coursera,2025-08-16,8,66,Yes
TRN00040,EMP0011,ML Fundamentals,LinkedIn Learning,2024-06-20,16,84,Yes
TRN00041,EMP0011,Power BI,Udemy,2025-11-18,24,96,Yes
TRN00042,EMP0012,Cloud AWS,Udemy,2024-04-06,16,92,No
TRN00043,EMP0012,Power BI,LinkedIn Learning,2024-05-08,4,64,No
TRN00044,EMP0012,Design Thinking,Udemy,2024-09-19,40,73,No
TRN00045,EMP0012,Communication Skills,Udemy,2023-05-29,16,80,No
TRN00046,EMP0013,Agile & Scrum,LinkedIn Learning,2024-09-01,24,98,No
TRN00047,EMP0013,Cybersecurity Basics,Coursera,2025-05-14,24,77,No
TRN00048,EMP0013,SQL Mastery,Pluralsight,2025-06-01,8,100,No
TRN00049,EMP0013,Cloud AWS,Udemy,2024-10-26,4,96,Yes
TRN00050,EMP0013,Power BI,Internal L&D,2025-10-06,24,64,No
TRN00051,EMP0014,React JS,Internal L&D,2026-03-22,12,60,No
TRN00052,EMP0014,Agile & Scrum,Coursera,2025-01-21,24,67,Yes
TRN00053,EMP0014,Power BI,LinkedIn Learning,2023-10-04,24,67,Yes
TRN00054,EMP0014,Design Thinking,Udemy,2023-10-06,24,94,No
TRN00055,EMP0015,Leadership 101,Pluralsight,2023-11-07,12,77,No
TRN00056,EMP0015,Python for Data,Internal L&D,2025-09-01,4,99,No
TRN00057,EMP0015,Project Management,Internal L&D,2025-11-01,24,84,Yes
TRN00058,EMP0015,Data Visualization,Coursera,2025-02-15,4,77,Yes
TRN00059,EMP0016,Python for Data,Coursera,2024-04-19,16,83,No
TRN00060,EMP0016,Design Thinking,Internal L&D,2025-05-20,24,79,No
TRN00061,EMP0016,SQL Mastery,LinkedIn Learning,2025-08-11,40,85,No
TRN00062,EMP0017,DevOps CI/CD,Pluralsight,2025-12-07,16,79,Yes
TRN00063,EMP0017,Agile & Scrum,Coursera,2025-02-25,4,87,No
TRN00064,EMP0017,Cybersecurity Basics,Pluralsight,2023-05-19,40,69,Yes
TRN00065,EMP0017,Leadership 101,Udemy,2023-07-26,20,79,No
TRN00066,EMP0018,SQL Mastery,Internal L&D,2023-05-23,40,86,Yes
TRN00067,EMP0018,Cloud AWS,Internal L&D,2025-02-18,8,89,Yes
TRN00068,EMP0019,Data Visualization,Udemy,2024-12-02,8,94,Yes
